Día,Base,Transporte,Mañana,Tarde,Noche
Día 1,Cartagena,Carro particular / traslados cortos,"Llegada, check-in, descanso","Recorrido a pie: Ciudad Amurallada, Torre del Reloj, Plaza de los Coches, Plaza de Bolívar, murallas (15:30-18:30)","Cena y paseo por Getsemaní: murales, plazas, bares (19:30-22:30)"
Día 2,Cartagena,Carro particular o taxi,Castillo de San Felipe de Barajas (8:00-11:30),Almuerzo en San Diego/Getsemaní y descanso (12:00-15:00),Paseo Bocagrande/Castillogrande y atardecer en murallas (16:30-21:30)
Día 3,Cartagena,Carro/taxi al muelle + lancha rápida (no carro propio a islas),"Muelle de La Bodeguita, salida en lancha 8:00-9:00","Playa, snorkel y almuerzo en Isla Grande (9:30-15:00); regreso aprox. 14:00-15:00",Cena ligera y paseo nocturno corto en Cartagena
Día 4,Barranquilla,"Carro particular (125-130 km, 2-2.5 h)","Salida de Cartagena (8:00), llegada Barranquilla, check-in y almuerzo",—,"Gran Malecón del Río: Aleta del Tiburón, estatua Shakira, Caimán del Río, cena (16:30-21:30)"
Día 5,Santa Marta,"Carro particular (70 km, 1.5-2 h)","Salida Barranquilla (8:30), llegada Santa Marta, check-in y descanso","Centro histórico: Parque de los Novios, catedral, calles coloniales, malecón (15:00-18:30)",Cena y bares en Parque de los Novios (19:30-22:30)
Día 6,Santa Marta,Carro particular hasta entrada El Zaino; dentro del parque a pie / bus interno,"Salida 6:30-7:30, ingreso Parque Tayrona desde 7:00; caminata Cañaveral-Arrecifes-La Piscina-Cabo San Juan","Playa y caminatas suaves, regreso antes de 17:00 (12:00-17:00)","Regreso a Santa Marta, cena tranquila"
Día 7,Santa Marta,Carro particular S.Marta ↔ Minca (pavimento); moto/jeep local para fincas altas,"Subida a Minca, finca cafetera y cascadas (Marinka u otras) (8:00-12:00)","Almuerzo con vista Sierra Nevada, mirador sobre la bahía (13:00-17:00); regreso a Santa Marta",Libre en Santa Marta (Rodadero o centro histórico)
Día 8,Palomino,Carro particular (1-1.5 h desde Santa Marta por Troncal del Caribe),"Salida Santa Marta (9:00), llegada Palomino, check-in (9:00-11:00)",Playa de Palomino y tubing por el río hasta el mar (12:00-17:30),Cena y ambiente mochilero en el pueblo
Día 9,Riohacha,Carro particular (dejar en hotel de Riohacha con parqueadero),Tiempo libre en Palomino y salida hacia Riohacha (1.5-2 h desde Palomino) (9:00-11:30),"Check-in hotel Riohacha, paseo por el malecón, artesanías y atardecer (15:00-18:30)",Organizar equipaje ligero para 3 días de tour al desierto (Cabo + Punta Gallinas)
Día 10,Cabo de la Vela,4x4 turístico (NO carro particular) — recogida en hotel Riohacha 8:00-8:30,Ruta 4x4: Riohacha → Mayapo → Manaure (salinas) → Uribia → desierto hacia Cabo (8:00-13:00),"Llegada Cabo de la Vela, almuerzo típico, Playa Ojo de Agua / Pilón de Azúcar / Playa Dorada (15:00-18:30)","Atardecer en el Faro del Cabo, cena y noche en ranchería (chinchorro o cama)"
Día 11,Punta Gallinas,4x4 del tour,Salida Cabo de la Vela → Punta Gallinas vía Bahía Portete y zonas desérticas (8:00-12:00),"Dunas de Taroa, faro y playas de Punta Gallinas / Punta Aguja (12:00-18:30)",Atardecer en faro o mirador y noche en ranchería wayuu
Día 12,Riohacha,4x4 del tour (regreso) + carro particular (Riohacha ↔ Camarones opcional),Regreso en 4x4 desde Punta Gallinas / Cabo hacia Riohacha; llegada estimada 15:00-16:30 (7:00-12:00 salida),"Opción 1: Recuperar carro, descansar. Opción 2: Salida rápida a Camarones → Santuario Los Flamencos (canoa, avistamiento, antes de 17:00)",—
